username,total_comments,sentiment_score,positive_count,neutral_count,negative_count,avg_bert_score,avg_vader_score,positive_pct,neutral_pct,negative_pct
sharmkup,1,0.8623,1,0,0,0.8457,0.901,100.0,0.0,0.0
tayloraube,1,0.8623,1,0,0,0.8678,0.8494,100.0,0.0,0.0
sinkthesun,1,0.8622,1,0,0,0.8154,0.9714,100.0,0.0,0.0
spanglishfashion,1,0.8622,1,0,0,0.8456,0.901,100.0,0.0,0.0
_thevanlife,1,0.8622,1,0,0,0.8456,0.9008,100.0,0.0,0.0
missgolden_lady,1,0.8622,1,0,0,0.8057,0.9942,100.0,0.0,0.0
bocaratonhappyhour,1,0.8622,1,0,0,0.8456,0.9008,100.0,0.0,0.0
lorynpowell,1,0.8622,1,0,0,0.8323,0.9319,100.0,0.0,0.0
bblogbymelissa,1,0.8622,1,0,0,0.8456,0.9008,100.0,0.0,0.0
madalinamerca,1,0.8621,1,0,0,0.8115,0.9803,100.0,0.0,0.0
radmilamihailovici,2,0.8621,2,0,0,0.8418,0.9096,100.0,0.0,0.0
regianedealmeida,1,0.8621,1,0,0,0.8046,0.9963,100.0,0.0,0.0
tashietinks,1,0.8621,1,0,0,0.8347,0.926,100.0,0.0,0.0
beautifulsmoothies,1,0.8621,1,0,0,0.8117,0.9798,100.0,0.0,0.0
bambiniconlavaligia,2,0.862,2,0,0,0.8608,0.8646,100.0,0.0,0.0
chefrosecleermarie,1,0.8619,1,0,0,0.8329,0.9295,100.0,0.0,0.0
wordsthroughtheeyes,2,0.8619,2,0,0,0.8456,0.8999,100.0,0.0,0.0
disisdblog,1,0.8619,1,0,0,0.8169,0.967,100.0,0.0,0.0
ohuprettythings,2,0.8619,2,0,0,0.8494,0.891,100.0,0.0,0.0
yuniiho,1,0.8616,1,0,0,0.8063,0.9908,100.0,0.0,0.0
nacaoverdejundiai,1,0.8616,1,0,0,0.8494,0.8899,100.0,0.0,0.0
julie.thedesigntwins,3,0.8615,3,0,0,0.8331,0.9277,100.0,0.0,0.0
dds_beautyy,1,0.8615,1,0,0,0.8274,0.9411,100.0,0.0,0.0
astylishcloset,1,0.8614,1,0,0,0.8853,0.8057,100.0,0.0,0.0
franziibk,1,0.8614,1,0,0,0.834,0.9254,100.0,0.0,0.0
rutkowskaklaudiaa,1,0.8614,1,0,0,0.8329,0.9278,100.0,0.0,0.0
guime,1,0.8613,1,0,0,0.8727,0.8348,100.0,0.0,0.0
dreamin.loud,1,0.8612,1,0,0,0.8493,0.8891,100.0,0.0,0.0
thereseandthekids,1,0.8612,1,0,0,0.8292,0.936,100.0,0.0,0.0
abbeyhagan,1,0.8611,1,0,0,0.8794,0.8185,100.0,0.0,0.0
frejarasmussen,1,0.861,1,0,0,0.8794,0.818,100.0,0.0,0.0
wearethe.dunns,1,0.861,1,0,0,0.8485,0.8901,100.0,0.0,0.0
zurich.influencers,1,0.861,1,0,0,0.8489,0.8891,100.0,0.0,0.0
constance__rose,1,0.861,1,0,0,0.845,0.8982,100.0,0.0,0.0
fitlittlemeg,3,0.8609,3,0,0,0.8393,0.9113,100.0,0.0,0.0
mia.minerva,1,0.8608,1,0,0,0.8328,0.9263,100.0,0.0,0.0
kangthropologie,1,0.8608,1,0,0,0.879,0.8185,100.0,0.0,0.0
chiara.pullano,1,0.8607,1,0,0,0.8297,0.9329,100.0,0.0,0.0
bryanbros,1,0.8606,1,0,0,0.8334,0.9239,100.0,0.0,0.0
itsdaniejade,1,0.8606,1,0,0,0.8716,0.8348,100.0,0.0,0.0
brenherrera,2,0.8605,2,0,0,0.8524,0.8794,100.0,0.0,0.0
smashbravo,1,0.8605,1,0,0,0.8615,0.8581,100.0,0.0,0.0
mondayjazz,1,0.8604,1,0,0,0.8634,0.8533,100.0,0.0,0.0
